Date;ABI BB Equity;NOKIA FH Equity;DG FP Equity;BNP FP Equity;SAN FP Equity;FP FP Equity;GLE FP Equity;OR FP Equity;AI FP Equity;ORA FP Equity;SU FP Equity;VIV FP Equity;EI FP Equity;BN FP Equity;AIR FP Equity;CS FP Equity;ENGI FP Equity;SAF FP Equity;SGO FP Equity;CA FP Equity;MC FP Equity;UL NA Equity;UNA NA Equity;DAI GY Equity;MUV2 GY Equity;ALV GY Equity;FRE GY Equity;BAYN GY Equity;DTE GY Equity;BAS GY Equity;DPW GY Equity;EOAN GY Equity;VOW3 GY Equity;BMW GY Equity;DBK GY Equity;SAP GY Equity;SIE GY Equity;ISP IM Equity;ENEL IM Equity;UCG IM Equity;ENI IM Equity;G IM Equity;INGA NA Equity;ASML NA Equity;PHIA NA Equity;IBE SQ Equity;TEF SQ Equity;ITX SQ Equity;BBVA SQ Equity;SAN SQ Equity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/12;1769642;42129744;2375215;5854251;3460993;4330754;6797959;555761;1043588;6724176;1834138;4126540;614935;1582195;2412476;10980532;3390448;1063976;1783939;2789655;697067;375346;5760722;6160380;758954;2490175;1510962;3025995;13328312;3367306;4306425;5872224;1206364;2723050;12299633;3430516;2940782;215819636;44182536;93665912;12048285;5872145;23694346;2543424;4761391;26735254;21723861;9596915;44724209;160713364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/12;1708288;42129744;1563646;4397556;2578344;4258973;7052455;707651;809471;4540748;1377963;2754907;289368;1277092;1561995;5193734;2549114;938900;1867237;2667603;887957;368163;4860550;4845975;837859;2197094;1038540;2397032;11710330;3592027;3057733;7168188;1094656;1911346;10874492;3002882;2570477;162045860;36819085;174899949;12547359;3734605;26093731;2320018;1989422;22118338;16123813;5884840;46160218;83572694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/01/12;1840793;27738560;1540754;4489761;2193414;3466969;7739150;452429;685993;4876333;1361990;3715718;285081;1301104;1067315;7806449;2387811;459846;1128689;2005680;760516;251481;4338381;5164173;729033;2518994;1129734;1902487;11240925;2890908;2683130;5928066;1142008;3087412;8095253;4154454;2240208;139731229;33380021;173439342;11841409;4301031;21161535;1688655;1980113;28208766;19077707;6922235;60437254;82910683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/01/12;2523322;28259738;2348661;5121505;3922621;6457537;6078781;961519;1318908;15999896;2756488;10368320;424770;2321184;1199185;10979103;4340512;684190;3033179;2887961;1825319;379299;6258641;6953755;1020391;3110628;1807734;3810188;15522903;4654476;6200326;11671345;1644756;2949233;10306609;7587041;6188841;148129690;33350330;230025691;15489582;5660258;30323072;1969412;11944160;32079783;34848126;10322415;171311771;121049919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/12;2048053;25859727;2167261;5018439;3259817;7689616;5235649;938943;1047720;7608029;2621521;7174998;540626;1910108;1541233;10033492;3220625;815517;2781810;2631179;1118027;346511;7527662;4836750;960824;2792028;1219239;2683020;12969556;2945370;3671591;8711477;933111;2035241;7442052;4487742;3363975;127757306;33215256;160073387;13895434;4459073;40886340;1259240;5545783;85501236;29243239;10519735;80326393;64630379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/12;1667839;36781881;1786471;8569021;3145702;7741035;8981491;644870;1113610;9445762;1661737;6665379;443644;1807444;1402965;12321732;3594229;892004;2086670;4100269;774696;305125;8185795;4941854;1083443;3690887;1569201;2892447;14216982;3797287;4037309;11789133;1503791;2061301;10967397;4690949;2758965;216491125;43991496;270820759;14705702;6451706;54206528;2031934;4237784;77324663;22258749;6804540;63413019;95127676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/12;2236557;16971696;2062022;8829788;2860870;6972184;8786662;699974;1028873;7851403;2352088;7778232;281068;1960502;2141930;10069175;3689688;864378;2457117;2732248;955956;250463;4805263;5945050;1042758;3538016;1534941;3418857;15757081;4359505;3943878;10563574;1516124;2958139;11960485;11381995;3290234;174001156;37647979;194758488;14488803;5163706;43959807;1468195;2817967;51521706;25404544;5057855;36816357;71021943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/01/12;1526444;21930750;1318734;4554576;2100537;5380275;4361998;563554;700532;4293791;1579743;3377531;171714;1631471;1185409;7228347;2257260;362719;1522752;2088716;1032512;191249;3809713;6312384;759546;1988399;946188;1900951;8462666;2709209;3222713;5759007;950332;2000149;5164016;4003759;2144731;147205645;27032552;133534227;10512469;4272976;24061905;1881785;2969150;23427122;14287432;4001985;45736317;70600583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/01/12;2127709;31075455;1516160;7166269;2840282;6482304;6506929;725843;865825;7355684;2884989;5190359;427203;2259021;1867802;11217180;3943800;859982;1850251;2536714;1001423;232206;5334552;9116802;811224;2679498;1336491;2679037;11796915;4247977;4561368;8708667;2002502;3547504;11438757;3499137;3774762;145875655;41366791;164767330;15139454;4383188;52120404;2065782;3707931;33052194;20196845;6297130;126882734;75503776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/01/12;1650723;26827370;1596533;7763450;3504293;6291563;9911912;769466;1032345;16112572;2566419;6057818;408326;2841153;1835223;10636869;4491271;1203776;2168769;3725678;889087;331164;5128271;7000166;1161717;2896602;1983135;3347554;14152182;3987257;4705761;11550400;1073767;3030372;9407982;4058483;3641334;151175474;36586952;115866965;12599592;5641391;46200258;6264847;4349479;60833157;34001195;8182925;63186775;78911351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
